category_id,name
1,Multi-player
27,Cross-Platform Multiplayer
29,Steam Trading Cards
30,Steam Workshop
35,In-App Purchases
64,Adjustable Text Size
67,Camera Comfort
66,Color Alternatives
68,Custom Volume Controls
74,Playable without Timed Input
69,Stereo Sound
70,Surround Sound
8,Valve Anti-Cheat enabled
15,Stats
41,Remote Play on Phone
42,Remote Play on Tablet
43,Remote Play on TV
63,Steam Timeline
49,PvP
36,Online PvP
18,Partial Controller Support
62,Family Sharing
2,Single-player
9,Co-op
38,Online Co-op
22,Steam Achievements
28,Full controller support
23,Steam Cloud
55,DualShock Controller Support
56,DualShock Controller Support
57,DualSense Controller Support
58,DualSense Controller Support
20,MMO
78,Adjustable Difficulty
65,Subtitle Options
13,Captions available
17,Includes level editor
14,Commentary available
47,LAN PvP
48,LAN Co-op
79,Save Anytime
16,Includes Source SDK
60,Gamepad Recommended
72,Chat Speech-to-text
73,Chat Text-to-speech
71,Narrated Game Menus
59,Steam Input API Support
44,Remote Play Together
51,Steam Workshop
39,Shared/Split Screen Co-op
24,Shared/Split Screen
75,Keyboard Only Option
61,HDR available
52,Tracked Controller Support
53,VR Supported
37,Shared/Split Screen PvP
76,Mouse Only Option
25,Steam Leaderboards
32,Steam Turn Notifications
31,VR Support
77,Touch Only Option
54,VR Only
40,SteamVR Collectibles
19,Mods
6,Mods (require HL2)
